Matches,FTHG,FTAG,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,FTR,FTG
WOL v BOU,2,0,1,0,1,9,13,3,3,15,7,5,3,1,2,0,0,1,2
BRI v CHE,1,2,0,2,-1,6,10,2,3,14,6,4,1,2,2,0,0,-1,3
LIV v MU,3,1,1,1,0,36,6,11,2,6,14,13,2,0,2,0,0,1,4
SOU v ARS,3,2,2,1,1,12,13,7,4,12,10,4,5,3,1,0,0,1,5
WOL v LIV,0,2,0,1,-1,11,15,5,6,7,3,1,10,0,0,0,0,-1,2
ARS v BUR,3,1,1,0,1,10,7,6,2,10,14,1,3,2,5,0,0,1,4
BOU v BRI,2,0,1,0,1,14,10,3,5,8,18,6,5,2,0,0,1,1,2
CAR v MU,1,5,1,3,-1,9,17,3,9,13,13,4,7,2,1,0,0,-1,6
CHE v LEI,0,1,0,0,0,17,8,5,3,10,9,9,5,0,2,0,0,-1,1
HUD v SOU,1,3,0,2,-1,16,13,5,6,12,9,8,2,2,3,0,0,-1,4
MC v CRY,2,3,1,2,-1,19,5,5,3,7,6,13,0,0,4,0,0,-1,5
NEW v FUL,0,0,0,0,0,9,4,0,2,9,12,6,0,1,2,0,0,0,0
WHM v WAT,0,2,0,1,-1,18,11,7,5,9,11,10,4,3,2,0,0,-1,2
EVE v TOT,2,6,1,3,-1,10,17,3,8,13,9,2,1,0,2,0,0,-1,8
BRI v ARS,1,1,1,1,0,12,7,3,4,10,4,4,9,2,1,0,0,0,2
BUR v EVE,1,5,1,3,-1,11,13,4,6,11,19,5,7,2,4,0,0,-1,6
CRY v CAR,0,0,0,0,0,31,9,5,4,9,11,12,1,0,3,0,0,0,0
FUL v WOL,1,1,0,0,0,11,14,9,5,9,6,2,0,2,1,0,0,0,2
LEI v MC,2,1,1,1,0,10,11,5,4,5,8,3,7,2,2,0,1,1,3
LIV v NEW,4,0,1,0,1,16,6,8,2,7,9,10,2,0,0,0,0,1,4
MU v HUD,3,1,1,0,1,16,10,10,2,9,13,5,3,1,1,0,0,1,4
TOT v BOU,5,0,3,0,1,10,14,7,4,4,8,3,4,2,1,0,0,1,5
WAT v CHE,1,2,1,1,0,10,10,2,4,15,5,3,4,1,0,0,0,-1,3
SOU v WHM,1,2,0,0,0,11,16,5,5,10,3,4,5,2,0,0,0,-1,3
BRI v EVE,1,0,0,0,0,11,13,3,4,10,11,6,6,0,2,0,0,1,1
FUL v HUD,1,0,0,0,0,14,9,5,5,12,10,4,3,3,1,0,0,1,1
