HomeTeam,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,FTR,FTG
LEI,0,0,0,24,6,12,1,13,13,8,6,3,1,0,1,1,3
MU,1,1,0,7,16,5,3,9,14,6,6,3,2,0,0,0,2
EVE,2,0,1,20,5,6,1,8,9,8,1,0,2,0,0,1,2
BOU,0,0,0,20,11,6,5,11,12,10,6,1,5,0,2,1,1
CAR,1,2,-1,18,21,8,7,14,11,10,5,0,0,0,0,-1,5
NEW,1,2,-1,14,11,7,4,10,4,2,3,1,1,0,0,-1,5
WHM,1,0,1,17,11,6,1,2,11,2,7,1,1,0,0,1,3
WOL,0,0,0,19,6,6,2,10,15,7,1,1,3,0,0,1,1
ARS,1,0,1,20,11,8,5,9,14,16,3,5,2,0,0,0,2
CHE,0,0,0,19,15,9,3,6,12,6,6,0,1,0,0,1,3
HUD,0,1,-1,7,23,3,7,10,10,3,7,1,1,0,0,0,2
MC,0,0,0,19,7,5,2,12,5,11,0,3,2,0,0,1,1
BRI,1,2,-1,6,20,2,9,12,8,2,6,0,0,0,0,-1,5
BUR,0,0,0,14,17,5,6,11,3,4,5,5,1,0,0,-1,4
CRY,3,1,1,17,16,8,8,11,8,4,4,3,0,0,0,1,8
FUL,0,2,-1,16,13,2,6,6,8,5,5,1,0,0,0,-1,4
LEI,0,0,0,9,14,3,4,9,8,4,5,0,1,0,0,0,0
LIV,1,0,1,13,7,5,2,3,11,4,1,0,2,0,0,1,2
MU,0,1,-1,26,13,10,4,9,6,11,2,3,3,0,0,-1,2
SOU,1,0,1,10,10,3,3,8,6,4,3,0,1,0,0,0,2
TOT,1,0,1,11,17,3,9,10,13,7,4,0,2,0,0,0,4
WAT,0,2,-1,17,16,8,9,10,10,7,2,1,0,1,0,-1,5
