HomeTeam,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,FTR,FTG
BRI,0,1,-1,8,16,4,7,15,9,5,7,2,1,0,0,-1,3
BUR,2,0,1,12,19,5,5,17,6,3,8,2,0,0,0,1,4
CAR,0,3,-1,2,21,2,10,6,4,1,9,1,1,0,0,-1,5
CRY,0,0,0,16,6,4,3,8,11,9,5,1,1,0,0,0,0
FUL,0,1,-1,15,11,3,6,11,9,8,8,2,1,0,0,0,2
LEI,1,1,0,18,9,8,2,10,16,3,1,2,1,0,0,1,4
LIV,3,0,1,12,7,4,1,7,10,5,4,0,2,0,0,1,3
MU,1,0,1,15,11,6,8,5,17,5,4,1,1,0,0,0,2
ARS,0,0,0,9,9,5,6,17,12,5,9,2,1,0,0,1,2
WHM,0,0,0,6,17,1,6,11,9,1,8,2,1,0,0,0,0
ARS,0,0,0,9,13,2,4,11,17,6,6,2,2,0,0,1,2
CHE,1,0,1,10,13,4,6,7,9,4,4,0,2,0,0,0,2
EVE,0,0,0,19,6,6,0,13,13,12,1,0,3,0,0,1,3
HUD,0,2,-1,9,10,5,6,17,16,3,0,2,2,0,0,-1,2
MC,1,0,1,28,4,8,1,4,10,10,3,0,3,0,0,1,2
NEW,0,1,-1,6,12,1,5,11,5,5,9,0,0,0,0,-1,2
WHM,2,0,1,8,9,3,4,12,12,4,9,0,1,0,0,1,4
WOL,0,0,0,14,17,6,6,11,7,8,6,3,1,0,0,1,2
CAR,0,0,0,19,3,5,2,11,15,10,2,1,3,0,0,-1,3
BOU,1,0,1,11,10,5,2,9,12,3,3,3,4,0,0,1,3
BRI,1,0,1,9,17,4,4,12,8,2,9,3,2,0,0,1,1
BUR,1,0,1,6,19,3,2,8,11,1,10,2,2,0,0,0,2
CRY,0,0,0,11,7,4,2,11,13,6,3,3,4,0,0,-1,1
LEI,1,1,0,8,17,2,8,10,11,2,10,2,1,1,0,-1,3
MU,0,2,-1,18,13,10,8,16,8,10,6,2,2,0,0,1,5
TOT,1,0,1,19,8,7,6,7,11,6,2,2,1,0,1,1,1
WAT,0,3,-1,14,10,2,7,11,9,10,7,3,1,1,0,-1,4
FUL,1,1,0,21,9,4,7,11,12,4,2,2,0,0,0,-1,6
LIV,0,0,0,7,6,2,2,10,10,2,6,1,3,0,0,0,0
SOU,0,1,-1,15,21,6,6,13,11,4,12,6,0,0,0,-1,3
BOU,0,0,0,10,8,2,4,10,14,6,4,1,2,0,0,0,0
